grade,year,folder,doi,pdf_url,filename
A,2017,07_supplements/general_ods_position_stands,10.1186/s12970-017-0177-8,https://jissn.biomedcentral.com/track/pdf/10.1186/s12970-017-0177-8,A_2017_position-stands_issn-protein-and-exercise.pdf
A,2023,02_training_desk/sedentary_software_engineer,10.1186/s12966-023-01467-5,https://ijbnpa.biomedcentral.com/counter/pdf/10.1186/s12966-023-01467-5,A_2023_sedentary-swe_active-workstations-office-sedentary.pdf
A,2017,07_supplements/supplement_timing,10.1186/s12970-017-0189-4,https://jissn.biomedcentral.com/track/pdf/10.1186/s12970-017-0189-4,A_2017_supp-timing_issn-nutrient-timing.pdf
A,2019,01_food_inflammation/omega3,10.1161/JAHA.119.013543,https://www.ahajournals.org/doi/pdf/10.1161/JAHA.119.013543,A_2019_omega3_marine-omega3-cvd-meta-analysis.pdf
A,2018,14_hormones_thyroid_heart/hormone_regulation_overview,10.1136/bjsports-2018-099193,https://bjsm.bmj.com/content/bjsports/52/11/687.full.pdf,A_2018_horm-overview_ioc-red-s-2018-update.pdf
